Area_name,STCOU,PST025182F,PST025182D,PST025182N1,PST025182N2,PST025183F,PST025183D,PST025183N1,PST025183N2,PST025184F,PST025184D,PST025184N1,PST025184N2,PST025185F,PST025185D,PST025185N1,PST025185N2,PST025186F,PST025186D,PST025186N1,PST025186N2,PST025187F,PST025187D,PST025187N1,PST025187N2,PST025188F,PST025188D,PST025188N1,PST025188N2,PST025189F,PST025189D,PST025189N1,PST025189N2,PST030190F,PST030190D,PST030190N1,PST030190N2,PST035190F,PST035190D,PST035190N1,PST035190N2
"Breckinridge, KY",21027,0,16604,0000,0000,0,16556,0000,0000,0,16668,0000,0000,0,16954,0000,0000,0,16736,0000,0000,0,16815,0000,0000,0,16478,0000,0000,0,16463,0000,0000,0,16312,0000,0000,0,16309,0000,0000
"Bullitt, KY",21029,0,43630,0000,0000,0,43390,0000,0000,0,43837,0000,0000,0,44619,0000,0000,0,44773,0000,0000,0,45120,0000,0000,0,46140,0000,0000,0,46664,0000,0000,0,47567,0000,0000,0,47880,0000,0000
"Butler, KY",21031,0,11000,0000,0000,0,11305,0000,0000,0,11587,0000,0000,0,11336,0000,0000,0,11033,0000,0000,0,11117,0000,0000,0,11255,0000,0000,0,11290,0000,0000,0,11245,0000,0000,0,11257,0000,0000
"Caldwell, KY",21033,0,13585,0000,0000,0,13486,0000,0000,0,13622,0000,0000,0,13615,0000,0000,0,13724,0000,0000,0,13540,0000,0000,0,13353,0000,0000,0,13216,0000,0000,0,13232,0000,0000,0,13217,0000,0000
"Calloway, KY",21035,0,30222,0000,0000,0,29638,0000,0000,0,30557,0000,0000,0,30207,0000,0000,0,30267,0000,0000,0,30621,0000,0000,0,30502,0000,0000,0,30610,0000,0000,0,30735,0000,0000,0,30806,0000,0000
"Campbell, KY",21037,0,83349,0000,0000,0,82438,0000,0000,0,82214,0000,0000,0,81803,0000,0000,0,81996,0000,0000,0,82913,0000,0000,0,82798,0000,0000,0,83323,0000,0000,0,83866,0000,0000,0,84077,0000,0000
"Carlisle, KY",21039,0,5444,0000,0000,0,5521,0000,0000,0,5467,0000,0000,0,5398,0000,0000,0,5431,0000,0000,0,5341,0000,0000,0,5323,0000,0000,0,5290,0000,0000,0,5238,0000,0000,0,5218,0000,0000
"Carroll, KY",21041,0,9501,0000,0000,0,9347,0000,0000,0,9477,0000,0000,0,9494,0000,0000,0,9231,0000,0000,0,9292,0000,0000,0,9358,0000,0000,0,9326,0000,0000,0,9292,0000,0000,0,9311,0000,0000
"Carter, KY",21043,0,25239,0000,0000,0,25375,0000,0000,0,25175,0000,0000,0,25019,0000,0000,0,24784,0000,0000,0,24567,0000,0000,0,24432,0000,0000,0,24189,0000,0000,0,24340,0000,0000,0,24389,0000,0000
"Casey, KY",21045,0,15155,0000,0000,0,15076,0000,0000,0,15239,0000,0000,0,14937,0000,0000,0,14783,0000,0000,0,14635,0000,0000,0,14367,0000,0000,0,14289,0000,0000,0,14211,0000,0000,0,14193,0000,0000
"Christian, KY",21047,0,68285,0000,0000,0,69231,0000,0000,0,69030,0000,0000,0,70495,0000,0000,0,69471,0000,0000,0,69371,0000,0000,0,69246,0000,0000,0,69136,0000,0000,0,68941,0000,0000,0,68823,0000,0000
"Clark, KY",21049,0,28750,0000,0000,0,28771,0000,0000,0,29017,0000,0000,0,28995,0000,0000,0,28974,0000,0000,0,29174,0000,0000,0,29477,0000,0000,0,29360,0000,0000,0,29496,0000,0000,0,29570,0000,0000
"Clay, KY",21051,0,22997,0000,0000,0,23197,0000,0000,0,23336,0000,0000,0,23282,0000,0000,0,23113,0000,0000,0,22664,0000,0000,0,22538,0000,0000,0,22064,0000,0000,0,21746,0000,0000,0,21725,0000,0000
"Clinton, KY",21053,0,9493,0000,0000,0,9568,0000,0000,0,9665,0000,0000,0,9584,0000,0000,0,9462,0000,0000,0,9293,0000,0000,0,9136,0000,0000,0,9123,0000,0000,0,9135,0000,0000,0,9162,0000,0000
"Crittenden, KY",21055,0,9130,0000,0000,0,9222,0000,0000,0,9309,0000,0000,0,9217,0000,0000,0,8993,0000,0000,0,8898,0000,0000,0,9111,0000,0000,0,9145,0000,0000,0,9196,0000,0000,0,9187,0000,0000
"Cumberland, KY",21057,0,7286,0000,0000,0,7254,0000,0000,0,7254,0000,0000,0,7080,0000,0000,0,7017,0000,0000,0,6859,0000,0000,0,6857,0000,0000,0,6878,0000,0000,0,6784,0000,0000,0,6778,0000,0000
"Daviess, KY",21059,0,86826,0000,0000,0,87419,0000,0000,0,88433,0000,0000,0,88079,0000,0000,0,87736,0000,0000,0,87185,0000,0000,0,86714,0000,0000,0,87001,0000,0000,0,87189,0000,0000,0,87264,0000,0000
"Edmonson, KY",21061,0,10354,0000,0000,0,10735,0000,0000,0,10521,0000,0000,0,10485,0000,0000,0,10358,0000,0000,0,10322,0000,0000,0,10234,0000,0000,0,10303,0000,0000,0,10357,0000,0000,0,10348,0000,0000
"Elliott, KY",21063,0,6848,0000,0000,0,6884,0000,0000,0,6695,0000,0000,0,6560,0000,0000,0,6502,0000,0000,0,6552,0000,0000,0,6562,0000,0000,0,6560,0000,0000,0,6455,0000,0000,0,6449,0000,0000
"Estill, KY",21065,0,14547,0000,0000,0,14850,0000,0000,0,14959,0000,0000,0,14928,0000,0000,0,14880,0000,0000,0,14846,0000,0000,0,14663,0000,0000,0,14597,0000,0000,0,14614,0000,0000,0,14674,0000,0000
"Fayette, KY",21067,0,207986,0000,0000,0,209136,0000,0000,0,209236,0000,0000,0,214282,0000,0000,0,217711,0000,0000,0,220526,0000,0000,0,222913,0000,0000,0,222909,0000,0000,0,225366,0000,0000,0,226641,0000,0000
"Fleming, KY",21069,0,12554,0000,0000,0,12449,0000,0000,0,12349,0000,0000,0,12390,0000,0000,0,12289,0000,0000,0,12262,0000,0000,0,12383,0000,0000,0,12339,0000,0000,0,12292,0000,0000,0,12285,0000,0000
"Floyd, KY",21071,0,48741,0000,0000,0,49070,0000,0000,0,48261,0000,0000,0,47458,0000,0000,0,46556,0000,0000,0,46021,0000,0000,0,45263,0000,0000,0,44124,0000,0000,0,43586,0000,0000,0,43529,0000,0000
"Franklin, KY",21073,0,42512,0000,0000,0,43010,0000,0000,0,43517,0000,0000,0,43326,0000,0000,0,43372,0000,0000,0,43637,0000,0000,0,43609,0000,0000,0,43749,0000,0000,0,44143,0000,0000,0,44225,0000,0000
