Area_name,STCOU,EDU010187F,EDU010187D,EDU010187N1,EDU010187N2,EDU010188F,EDU010188D,EDU010188N1,EDU010188N2,EDU010189F,EDU010189D,EDU010189N1,EDU010189N2,EDU010190F,EDU010190D,EDU010190N1,EDU010190N2,EDU010191F,EDU010191D,EDU010191N1,EDU010191N2,EDU010192F,EDU010192D,EDU010192N1,EDU010192N2,EDU010193F,EDU010193D,EDU010193N1,EDU010193N2,EDU010194F,EDU010194D,EDU010194N1,EDU010194N2,EDU010195F,EDU010195D,EDU010195N1,EDU010195N2,EDU010196F,EDU010196D,EDU010196N1,EDU010196N2
"Kenedy, TX",48261,0,70,0000,0000,0,59,0000,0000,0,63,0000,0000,0,47,0000,0000,0,46,0000,0000,0,44,0000,0000,0,43,0000,0000,0,43,0000,0000,0,43,0000,0000,0,50,0000,0000
"Kent, TX",48263,0,202,0000,0000,0,197,0000,0000,0,193,0000,0000,0,192,0000,0000,0,186,0000,0000,0,175,0000,0000,0,179,0000,0000,0,187,0000,0000,0,191,0000,0000,0,195,0000,0000
"Kerr, TX",48265,0,5326,0000,0000,0,5429,0000,0000,0,5372,0000,0000,0,5339,0000,0000,0,5546,0000,0000,0,5773,0000,0000,0,6058,0000,0000,0,6267,0000,0000,0,6382,0000,0000,0,6669,0000,0000
"Kimble, TX",48267,0,782,0000,0000,0,774,0000,0000,0,766,0000,0000,0,738,0000,0000,0,760,0000,0000,0,781,0000,0000,0,797,0000,0000,0,809,0000,0000,0,789,0000,0000,0,774,0000,0000
"King, TX",48269,0,108,0000,0000,0,104,0000,0000,0,98,0000,0000,0,90,0000,0000,0,90,0000,0000,0,84,0000,0000,0,97,0000,0000,0,96,0000,0000,0,84,0000,0000,0,81,0000,0000
"Kinney, TX",48271,0,557,0000,0000,0,548,0000,0000,0,578,0000,0000,0,573,0000,0000,0,552,0000,0000,0,559,0000,0000,0,563,0000,0000,0,568,0000,0000,0,584,0000,0000,0,615,0000,0000
"Kleberg, TX",48273,0,6494,0000,0000,0,6505,0000,0000,0,6539,0000,0000,0,6056,0000,0000,0,6436,0000,0000,0,6246,0000,0000,0,6492,0000,0000,0,6565,0000,0000,0,6557,0000,0000,0,6626,0000,0000
"Knox, TX",48275,0,1076,0000,0000,0,1077,0000,0000,0,1063,0000,0000,0,1075,0000,0000,0,1090,0000,0000,0,1089,0000,0000,0,1115,0000,0000,0,1091,0000,0000,0,1098,0000,0000,0,1040,0000,0000
"Lamar, TX",48277,0,8635,0000,0000,0,8603,0000,0000,0,8608,0000,0000,0,8375,0000,0000,0,8475,0000,0000,0,8484,0000,0000,0,8599,0000,0000,0,8535,0000,0000,0,8705,0000,0000,0,8804,0000,0000
"Lamb, TX",48279,0,3702,0000,0000,0,3700,0000,0000,0,3749,0000,0000,0,3610,0000,0000,0,3657,0000,0000,0,3681,0000,0000,0,3617,0000,0000,0,3649,0000,0000,0,3697,0000,0000,0,3681,0000,0000
